Jugador,categoria,Partidos,Minutos_jugados,Goles,Asistencias,Paradas,Goles_encajados,Tiros,Tiros_a_ puerta,Precision_tiros,Centros,Centros_ precisos,Precision_centros,Tiros_al palo,Corners_forzados,Faltas_recibidas,Faltas_cometidas,Pases_interceptados,Balones_robados,Balones_robado al_ultimo_hombre,Tarjetas_amarillas,Tarjetas_rojas,Penaltis_cometidos,Penaltis_forzados,Penaltis_lanzados,Penaltis_anotados,Penaltis_parados,Goles_en_propia_meta,Tiros_bloqueados,Errores_en_gol_en_contra,Regates_con_exito,Pasesconexito,Precisionpases,Cornerscolgados,Faltascolgadas,Faltascolgadasprecisas,Faltas directas,Faltasdirectasapuerta,Golesdefalta
scar Rodrguez,3,27,1758,8,2,0,0,54,24,44,87,22,25,1,15,35,29,17,10,0,5,1,0,0,2,2,0,0,0,0,37,26,74,27,23,2,14,7,3
Renan Lodi,2,24,1759,1,2,0,0,13,200,15,70,1600,23,0,9,34,29,32,30,0,5,1,0,0,0,0,0,0,5,0,12,1700,80,0,0,0,0,0,0
Manu Garca,3,25,1765,0,0,0,0,18,6,33,3,0,0,1,3,36,52,21,22,0,10,1,3,0,0,0,0,0,12,0,6,2,71,0,1,0,0,0,0
Jos Gay,2,21,1768,0,1,0,0,7,200,29,73,1000,14,0,12,27,15,16,31,0,4,0,0,1,0,0,0,0,7,0,28,900,80,0,2,0,0,0,0
Zambo Anguissa,3,26,1773,1,0,0,0,25,7,28,10,1,10,0,4,26,32,30,34,0,6,0,0,0,0,0,0,0,4,0,65,14,86,0,2,0,0,0,0
Mchel Herrero,3,24,1780,1,1,0,0,9,2,22,83,17,20,0,13,13,27,28,25,0,4,0,0,0,1,1,0,0,4,0,16,24,81,47,46,3,2,0,0
Cristian Portu,3,24,1784,7,8,0,0,29,14,48,78,19,24,0,18,17,24,8,15,0,5,0,0,0,1,0,0,0,2,0,9,29,72,25,3,0,0,0,0
Fern Torres,3,26,1794,4,4,0,0,27,10,37,65,9,14,0,19,29,15,11,14,0,4,0,0,0,0,0,0,0,2,0,44,21,79,0,1,0,0,0,0
lex Remiro,1,20,1800,0,0,51,24,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,73,0,4,0,0,0,0
Enes nal,4,25,1800,5,2,0,0,43,15,35,8,3,38,0,14,46,32,6,9,0,2,0,0,1,1,1,0,0,4,0,16,22,65,0,0,0,2,0,0
Rben Vezo,2,20,1800,1,0,0,0,9,300,33,0,0,0,0,1,21,23,25,14,0,4,0,2,1,0,0,0,0,22,0,3,200,80,0,12,0,0,0,0
Felipe,2,21,1802,1,0,0,0,18,500,28,1,0,0,0,6,12,24,38,18,0,6,0,0,0,0,0,0,0,11,0,4,500,77,0,11,0,0,0,0
